k,	f,	X_re,	X_im,	x_re,	x_im

,0,0,-2.16893e-12,0,3,-4.81261e-12
,1,0.000383495,-1.99027e-11,2.92876e-11,3.00307,-4.82863e-12
,2,0.00076699,24576,1.51472e-12,3.00613,-3.90339e-12
,3,0.00115049,-6.93534e-12,-1.81186e-12,3.0092,-3.21144e-12
,4,0.00153398,-2.42828e-12,-16384,3.01226,-7.07295e-12
,5,0.00191748,1.28875e-12,4.19828e-12,3.01532,-2.18082e-12
,6,0.00230097,-2.20575e-11,-5.08226e-12,3.01838,-2.20442e-12
,7,0.00268447,-7.14984e-14,4.32113e-12,3.02143,-3.69669e-12
,8,0.00306796,-4.46132e-12,-1.40216e-11,3.02449,-4.48938e-12
,9,0.00345146,-4.33431e-13,5.6801e-12,3.02754,-6.30801e-13
,10,0.00383495,-4.56213e-12,-1.33104e-13,3.03059,-1.6472e-12
,11,0.00421845,-4.16911e-12,1.78914e-12,3.03364,-2.83927e-12
,12,0.00460194,-1.68932e-12,6.41719e-12,3.03669,-4.21866e-12
,13,0.00498544,3.41593e-12,3.19715e-13,3.03973,-1.68428e-12
,14,0.00536893,-8.68194e-13,-2.21546e-12,3.04278,-2.79226e-12
,15,0.00575243,-1.24603e-11,-6.31836e-12,3.04582,-1.93664e-12
,16,0.00613592,-1.06493e-12,5.53287e-13,3.04886,-6.38667e-12
,17,0.00651942,1.06137e-12,8.69364e-13,3.05189,-5.02704e-12
,18,0.00690291,-3.75744e-12,-6.97459e-13,3.05493,-5.5059e-12
,19,0.00728641,-4.81748e-12,1.83484e-12,3.05796,-5.43768e-12
,20,0.0076699,-1.81899e-12,2.30313e-12,3.061,-6.04729e-12
,21,0.0080534,1.97797e-12,-1.13272e-12,3.06403,-8.86596e-12
,22,0.00843689,-5.75939e-12,-3.54389e-12,3.06706,-2.41523e-12
,23,0.00882039,-3.42615e-12,2.51174e-13,3.07008,-4.41359e-12
,24,0.00920388,-3.56559e-12,-2.52648e-12,3.07311,-2.05297e-12
,25,0.00958738,-2.15605e-12,-4.17915e-12,3.07613,3.7476e-13
,26,0.00997088,2.05569e-12,-2.32597e-12,3.07915,-2.33199e-13
,27,0.0103544,-4.46487e-12,-8.50847e-14,3.08217,-1.29162e-12
,28,0.0107379,-1.06137e-12,9.12513e-13,3.08518,-5.07888e-12
,29,0.0111214,1.08891e-12,-1.29266e-12,3.0882,-8.36148e-13
,30,0.0115049,-5.71987e-12,1.25062e-12,3.09121,1.61344e-12
,31,0.0118884,-4.38005e-12,8.94493e-14,3.09422,-4.39962e-12
,32,0.0122718,-3.95106e-12,-2.66133e-12,3.09723,-3.57585e-12
,33,0.0126553,1.04139e-12,-2.83713e-12,3.10024,-6.87188e-12
,34,0.0130388,3.07754e-13,-1.08188e-12,3.10324,-3.17016e-12
,35,0.0134223,-3.17035e-12,9.04832e-13,3.10625,-3.72156e-12
,36,0.0138058,-8.69527e-13,1.03732e-12,3.10925,-4.65133e-13
,37,0.0141893,-3.44613e-13,9.9077e-13,3.11225,-2.53035e-12
,38,0.0145728,-3.85159e-12,1.33865e-12,3.11524,-5.77327e-12
,39,0.0149563,-4.25615e-12,9.71709e-13,3.11824,-4.10615e-12
,40,0.0153398,-2.42384e-12,-3.75561e-13,3.12123,-2.64974e-12
,41,0.0157233,-6.86029e-12,6.28914e-13,3.12422,3.4076e-12
,42,0.0161068,2.34035e-13,4.22898e-13,3.12721,1.83147e-12
,43,0.0164903,-2.87237e-12,-1.32142e-12,3.1302,-3.11058e-12
,44,0.0168738,-6.28608e-12,-5.48041e-13,3.13318,-6.28917e-13
,45,0.0172573,-9.92983e-13,7.79335e-13,3.13616,-7.5919e-13
,46,0.0176408,-3.72324e-12,3.06172e-13,3.13914,-3.15667e-12
,47,0.0180243,2.00728e-12,-1.13178e-12,3.14212,-1.82065e-12
,48,0.0184078,-2.28839e-12,5.37188e-13,3.1451,-4.22872e-12
,49,0.0187913,-5.50315e-12,-1.27263e-12,3.14807,-4.12979e-12
,50,0.0191748,-5.32907e-14,1.65779e-12,3.15104,-8.23979e-12
,51,0.0195583,-3.61933e-12,2.9174e-12,3.15401,-2.34223e-12
,52,0.0199418,2.78133e-12,1.24206e-14,3.15698,9.00368e-13
,53,0.0203252,-6.30607e-13,2.79382e-12,3.15994,-3.85598e-12
,54,0.0207087,-4.21529e-12,9.55749e-13,3.16291,-3.51655e-12
,55,0.0210922,4.4853e-13,-2.42062e-12,3.16587,-2.40381e-12
,56,0.0214757,-2.37144e-12,-1.9318e-12,3.16883,-4.46448e-12
,57,0.0218592,-4.31033e-12,1.3925e-12,3.17178,-3.0211e-12
,58,0.0222427,-1.07647e-12,3.33913e-13,3.17474,-5.15225e-12
,59,0.0226262,-3.78941e-12,1.81632e-12,3.17769,-2.81285e-12
,60,0.0230097,-4.79439e-12,1.72336e-12,3.18064,-5.69774e-12
,61,0.0233932,-1.58362e-12,-6.2185e-13,3.18359,-1.22102e-12
,62,0.0237767,-3.37685e-12,-7.38354e-13,3.18654,-4.20809e-12
,63,0.0241602,1.15996e-12,-3.45127e-13,3.18948,-6.16661e-13
,64,0.0245437,-8.65086e-13,3.62349e-13,3.19242,-4.18352e-12
,65,0.0249272,-4.2415e-12,6.93515e-13,3.19536,-7.01778e-12
,66,0.0253107,-3.1708e-13,-1.83764e-12,3.1983,-7.93014e-12
,67,0.0256942,-4.023e-12,-5.09925e-13,3.20123,7.4135e-13
,68,0.0260777,1.7244e-12,-5.25691e-13,3.20416,-3.6499e-12
