k,f,x_re,x_im,X_re,X_im,|X(k)|
80,3.92699,-1.53081e-15,0,1.39888e-14,-2.10498e-13,2.10963e-13
81,3.97608,0.471315,0,1.61204e-13,-1.92291e-13,2.50923e-13
82,4.02517,0.828943,0,1.1946e-13,8.88178e-16,1.19463e-13
83,4.07425,0.976905,0,-9.12603e-14,9.63674e-14,1.32722e-13
84,4.12334,0.85195,0,6.12843e-14,-1.06581e-14,6.22042e-14
85,4.17243,0.433569,0,1.60538e-13,2.53797e-13,3.00309e-13
86,4.22152,-0.252497,0,-4.90719e-14,-5.01821e-14,7.01875e-14
87,4.2706,-1.13781,0,-2.65343e-14,1.53655e-13,1.55929e-13
88,4.31969,-2.12132,0,7.30527e-14,-1.06137e-13,1.28848e-13
89,4.36878,-3.0844,0,6.10179e-13,4.88498e-14,6.12131e-13
90,4.41786,-3.90862,0,1.44107e-13,-1.02585e-13,1.76891e-13
91,4.46695,-4.49352,0,-1.1191e-13,3.9968e-14,1.18833e-13
92,4.51604,-4.77164,0,2.57461e-13,-1.0747e-13,2.78991e-13
93,4.56513,-4.71858,0,2.73337e-13,-9.99201e-14,2.91028e-13
94,4.61421,-4.35657,0,-1.50657e-13,6.19504e-13,6.3756e-13
95,4.6633,-3.75092,0,-2.34368e-13,-8.65974e-14,2.49855e-13
96,4.71239,-3,0,9.27758e-15,4.45421e-13,4.45518e-13
97,4.76148,-2.22019,0,2.73379e-13,3.18856e-13,4.20006e-13
98,4.81056,-1.52814,0,-2.76307e-13,-1.09246e-13,2.9712e-13
99,4.85965,-1.02306,0,5.58331e-13,2.26485e-14,5.5879e-13
100,4.90874,-0.771639,0,2.09721e-13,-2.54019e-13,3.29406e-13
101,4.95783,-0.798005,0,6.22058e-13,-1.64313e-14,6.22275e-13
102,5.00691,-1.0802,0,1.7264e-13,-8.08242e-14,1.90623e-13
103,5.056,-1.55366,0,1.24345e-14,4.84057e-13,4.84217e-13
104,5.10509,-2.12132,0,-2.5091e-13,-3.95239e-13,4.68156e-13
105,5.15418,-2.66855,0,-8.13793e-14,7.99361e-14,1.14072e-13
106,5.20326,-3.08092,0,-1.19904e-13,2.17604e-14,1.21863e-13
107,5.25235,-3.26195,0,-3.37508e-14,3.0087e-13,3.02758e-13
108,5.30144,-3.14805,0,2.6068e-13,1.97398e-13,3.26986e-13
109,5.35052,-2.71861,0,2.77334e-13,-3.13083e-14,2.79095e-13
110,5.39961,-1.99948,0,2.03393e-13,-8.06022e-14,2.18782e-13
111,5.4487,-1.05942,0,-3.3662e-13,-5.1803e-13,6.17793e-13
112,5.49779,-4.71489e-15,0,-1.54321e-13,-3.63265e-13,3.94685e-13
113,5.54687,1.05942,0,1.66089e-13,4.21885e-13,4.53401e-13
114,5.59596,1.99948,0,7.72049e-13,1.24123e-13,7.81963e-13
115,5.64505,2.71861,0,-7.77156e-13,-1.44329e-13,7.90444e-13
116,5.69414,3.14805,0,-6.63913e-14,-2.31815e-13,2.41134e-13
