f [Hz], FR(kf0), FI(kf0), |F(kf0)|
1.80511,-1.02306,0,1.02306
1.8055,-0.771639,0,0.771639
1.80588,-0.798005,0,0.798005
1.80626,-1.0802,0,1.0802
1.80665,-1.55366,0,1.55366
1.80703,-2.12132,0,2.12132
1.80741,-2.66855,0,2.66855
1.8078,-3.08092,0,3.08092
1.80818,-3.26195,0,3.26195
1.80856,-3.14805,0,3.14805
1.80895,-2.71861,0,2.71861
1.80933,-1.99948,0,1.99948
1.80971,-1.05942,0,1.05942
1.8101,1.62402e-14,0,1.62402e-14
1.81048,1.05942,0,1.05942
1.81086,1.99948,0,1.99948
1.81125,2.71861,0,2.71861
1.81163,3.14805,0,3.14805
1.81201,3.26195,0,3.26195
1.8124,3.08092,0,3.08092
1.81278,2.66855,0,2.66855
1.81317,2.12132,0,2.12132
1.81355,1.55366,0,1.55366
1.81393,1.0802,0,1.0802
1.81432,0.798005,0,0.798005
1.8147,0.771639,0,0.771639
1.81508,1.02306,0,1.02306
1.81547,1.52814,0,1.52814
1.81585,2.22019,0,2.22019
1.81623,3,0,3
1.81662,3.75092,0,3.75092
1.817,4.35657,0,4.35657
1.81738,4.71858,0,4.71858
1.81777,4.77164,0,4.77164
1.81815,4.49352,0,4.49352
1.81853,3.90862,0,3.90862
1.81892,3.0844,0,3.0844
1.8193,2.12132,0,2.12132
1.81968,1.13781,0,1.13781
1.82007,0.252497,0,0.252497
1.82045,-0.433569,0,0.433569
1.82084,-0.85195,0,0.85195
1.82122,-0.976905,0,0.976905
1.8216,-0.828943,0,0.828943
1.82199,-0.471315,0,0.471315
1.82237,-4.65211e-14,0,4.65211e-14
1.82275,0.471315,0,0.471315
1.82314,0.828943,0,0.828943
1.82352,0.976905,0,0.976905
1.8239,0.85195,0,0.85195
1.82429,0.433569,0,0.433569
1.82467,-0.252497,0,0.252497
1.82505,-1.13781,0,1.13781
1.82544,-2.12132,0,2.12132
1.82582,-3.0844,0,3.0844
1.8262,-3.90862,0,3.90862
1.82659,-4.49352,0,4.49352
1.82697,-4.77164,0,4.77164
1.82735,-4.71858,0,4.71858
1.82774,-4.35657,0,4.35657
1.82812,-3.75092,0,3.75092
1.82851,-3,0,3
1.82889,-2.22019,0,2.22019
1.82927,-1.52814,0,1.52814
1.82966,-1.02306,0,1.02306
1.83004,-0.771639,0,0.771639
1.83042,-0.798005,0,0.798005
1.83081,-1.0802,0,1.0802
1.83119,-1.55366,0,1.55366
1.83157,-2.12132,0,2.12132
1.83196,-2.66855,0,2.66855
1.83234,-3.08092,0,3.08092
1.83272,-3.26195,0,3.26195
1.83311,-3.14805,0,3.14805
1.83349,-2.71861,0,2.71861
1.83387,-1.99948,0,1.99948
1.83426,-1.05942,0,1.05942
1.83464,-2.20933e-13,0,2.20933e-13
1.83502,1.05942,0,1.05942
1.83541,1.99948,0,1.99948
1.83579,2.71861,0,2.71861
1.83618,3.14805,0,3.14805
1.83656,3.26195,0,3.26195
1.83694,3.08092,0,3.08092
1.83733,2.66855,0,2.66855
1.83771,2.12132,0,2.12132
1.83809,1.55366,0,1.55366
1.83848,1.0802,0,1.0802
1.83886,0.798005,0,0.798005
1.83924,0.771639,0,0.771639
1.83963,1.02306,0,1.02306
1.84001,1.52814,0,1.52814
1.84039,2.22019,0,2.22019
1.84078,3,0,3
1.84116,3.75092,0,3.75092
1.84154,4.35657,0,4.35657
1.84193,4.71858,0,4.71858
1.84231,4.77164,0,4.77164
1.84269,4.49352,0,4.49352
1.84308,3.90862,0,3.90862
1.84346,3.0844,0,3.0844
1.84384,2.12132,0,2.12132
1.84423,1.13781,0,1.13781
1.84461,0.252497,0,0.252497
1.845,-0.433569,0,0.433569
1.84538,-0.85195,0,0.85195
1.84576,-0.976905,0,0.976905
1.84615,-0.828943,0,0.828943
1.84653,-0.471315,0,0.471315
1.84691,-1.54327e-13,0,1.54327e-13
1.8473,0.471315,0,0.471315
1.84768,0.828943,0,0.828943
1.84806,0.976905,0,0.976905
1.84845,0.85195,0,0.85195
1.84883,0.433569,0,0.433569
1.84921,-0.252497,0,0.252497
1.8496,-1.13781,0,1.13781
1.84998,-2.12132,0,2.12132
1.85036,-3.0844,0,3.0844
1.85075,-3.90862,0,3.90862
1.85113,-4.49352,0,4.49352
1.85151,-4.77164,0,4.77164
1.8519,-4.71858,0,4.71858
1.85228,-4.35657,0,4.35657
1.85267,-3.75092,0,3.75092
1.85305,-3,0,3
1.85343,-2.22019,0,2.22019
1.85382,-1.52814,0,1.52814
1.8542,-1.02306,0,1.02306
1.85458,-0.771639,0,0.771639
1.85497,-0.798005,0,0.798005
1.85535,-1.0802,0,1.0802
1.85573,-1.55366,0,1.55366
1.85612,-2.12132,0,2.12132
1.8565,-2.66855,0,2.66855
1.85688,-3.08092,0,3.08092
1.85727,-3.26195,0,3.26195
1.85765,-3.14805,0,3.14805
1.85803,-2.71861,0,2.71861
1.85842,-1.99948,0,1.99948
1.8588,-1.05942,0,1.05942
1.85918,-4.58106e-13,0,4.58106e-13
1.85957,1.05942,0,1.05942
1.85995,1.99948,0,1.99948
1.86034,2.71861,0,2.71861
1.86072,3.14805,0,3.14805
1.8611,3.26195,0,3.26195
1.86149,3.08092,0,3.08092
1.86187,2.66855,0,2.66855
1.86225,2.12132,0,2.12132
1.86264,1.55366,0,1.55366
1.86302,1.0802,0,1.0802
1.8634,0.798005,0,0.798005
1.86379,0.771639,0,0.771639
1.86417,1.02306,0,1.02306
1.86455,1.52814,0,1.52814
1.86494,2.22019,0,2.22019
1.86532,3,0,3
1.8657,3.75092,0,3.75092
1.86609,4.35657,0,4.35657
1.86647,4.71858,0,4.71858
1.86685,4.77164,0,4.77164
1.86724,4.49352,0,4.49352
1.86762,3.90862,0,3.90862
1.86801,3.0844,0,3.0844
1.86839,2.12132,0,2.12132
1.86877,1.13781,0,1.13781
1.86916,0.252497,0,0.252497
1.86954,-0.433569,0,0.433569
1.86992,-0.85195,0,0.85195
1.87031,-0.976905,0,0.976905
1.87069,-0.828943,0,0.828943
1.87107,-0.471315,0,0.471315
1.87146,2.20839e-14,0,2.20839e-14
1.87184,0.471315,0,0.471315
1.87222,0.828943,0,0.828943
1.87261,0.976905,0,0.976905
1.87299,0.85195,0,0.85195
1.87337,0.433569,0,0.433569
1.87376,-0.252497,0,0.252497
1.87414,-1.13781,0,1.13781
1.87452,-2.12132,0,2.12132
1.87491,-3.0844,0,3.0844
1.87529,-3.90862,0,3.90862
1.87568,-4.49352,0,4.49352
1.87606,-4.77164,0,4.77164
1.87644,-4.71858,0,4.71858
1.87683,-4.35657,0,4.35657
1.87721,-3.75092,0,3.75092
1.87759,-3,0,3
1.87798,-2.22019,0,2.22019
1.87836,-1.52814,0,1.52814
1.87874,-1.02306,0,1.02306
1.87913,-0.771639,0,0.771639
1.87951,-0.798005,0,0.798005
1.87989,-1.0802,0,1.0802
1.88028,-1.55366,0,1.55366
1.88066,-2.12132,0,2.12132
1.88104,-2.66855,0,2.66855
1.88143,-3.08092,0,3.08092
1.88181,-3.26195,0,3.26195
1.88219,-3.14805,0,3.14805
1.88258,-2.71861,0,2.71861
1.88296,-1.99948,0,1.99948
1.88334,-1.05942,0,1.05942
1.88373,-7.00021e-14,0,7.00021e-14
1.88411,1.05942,0,1.05942
1.8845,1.99948,0,1.99948
1.88488,2.71861,0,2.71861
1.88526,3.14805,0,3.14805
1.88565,3.26195,0,3.26195
1.88603,3.08092,0,3.08092
1.88641,2.66855,0,2.66855
1.8868,2.12132,0,2.12132
1.88718,1.55366,0,1.55366
1.88756,1.0802,0,1.0802
1.88795,0.798005,0,0.798005
1.88833,0.771639,0,0.771639
1.88871,1.02306,0,1.02306
1.8891,1.52814,0,1.52814
1.88948,2.22019,0,2.22019
1.88986,3,0,3
1.89025,3.75092,0,3.75092
1.89063,4.35657,0,4.35657
1.89101,4.71858,0,4.71858
1.8914,4.77164,0,4.77164
1.89178,4.49352,0,4.49352
1.89217,3.90862,0,3.90862
1.89255,3.0844,0,3.0844
1.89293,2.12132,0,2.12132
1.89332,1.13781,0,1.13781
1.8937,0.252497,0,0.252497
1.89408,-0.433569,0,0.433569
1.89447,-0.85195,0,0.85195
1.89485,-0.976905,0,0.976905
1.89523,-0.828943,0,0.828943
1.89562,-0.471315,0,0.471315
1.896,-8.57222e-14,0,8.57222e-14
1.89638,0.471315,0,0.471315
1.89677,0.828943,0,0.828943
1.89715,0.976905,0,0.976905
1.89753,0.85195,0,0.85195
1.89792,0.433569,0,0.433569
1.8983,-0.252497,0,0.252497
1.89868,-1.13781,0,1.13781
1.89907,-2.12132,0,2.12132
1.89945,-3.0844,0,3.0844
1.89984,-3.90862,0,3.90862
1.90022,-4.49352,0,4.49352
1.9006,-4.77164,0,4.77164
1.90099,-4.71858,0,4.71858
1.90137,-4.35657,0,4.35657
1.90175,-3.75092,0,3.75092
1.90214,-3,0,3
1.90252,-2.22019,0,2.22019
1.9029,-1.52814,0,1.52814
1.90329,-1.02306,0,1.02306
1.90367,-0.771639,0,0.771639
1.90405,-0.798005,0,0.798005
1.90444,-1.0802,0,1.0802
1.90482,-1.55366,0,1.55366
1.9052,-2.12132,0,2.12132
1.90559,-2.66855,0,2.66855
1.90597,-3.08092,0,3.08092
1.90635,-3.26195,0,3.26195
1.90674,-3.14805,0,3.14805
1.90712,-2.71861,0,2.71861
1.90751,-1.99948,0,1.99948
1.90789,-1.05942,0,1.05942
1.90827,-3.07175e-13,0,3.07175e-13
1.90866,1.05942,0,1.05942
1.90904,1.99948,0,1.99948
1.90942,2.71861,0,2.71861
1.90981,3.14805,0,3.14805
1.91019,3.26195,0,3.26195
1.91057,3.08092,0,3.08092
1.91096,2.66855,0,2.66855
1.91134,2.12132,0,2.12132
1.91172,1.55366,0,1.55366
1.91211,1.0802,0,1.0802
1.91249,0.798005,0,0.798005
1.91287,0.771639,0,0.771639
1.91326,1.02306,0,1.02306
1.91364,1.52814,0,1.52814
1.91402,2.22019,0,2.22019
1.91441,3,0,3
1.91479,3.75092,0,3.75092
1.91518,4.35657,0,4.35657
1.91556,4.71858,0,4.71858
1.91594,4.77164,0,4.77164
1.91633,4.49352,0,4.49352
1.91671,3.90862,0,3.90862
1.91709,3.0844,0,3.0844
1.91748,2.12132,0,2.12132
1.91786,1.13781,0,1.13781
1.91824,0.252497,0,0.252497
1.91863,-0.433569,0,0.433569
1.91901,-0.85195,0,0.85195
1.91939,-0.976905,0,0.976905
1.91978,-0.828943,0,0.828943
1.92016,-0.471315,0,0.471315
1.92054,-1.93528e-13,0,1.93528e-13
1.92093,0.471315,0,0.471315
1.92131,0.828943,0,0.828943
1.92169,0.976905,0,0.976905
1.92208,0.85195,0,0.85195
1.92246,0.433569,0,0.433569
1.92284,-0.252497,0,0.252497
1.92323,-1.13781,0,1.13781
1.92361,-2.12132,0,2.12132
1.924,-3.0844,0,3.0844
1.92438,-3.90862,0,3.90862
1.92476,-4.49352,0,4.49352
1.92515,-4.77164,0,4.77164
1.92553,-4.71858,0,4.71858
1.92591,-4.35657,0,4.35657
1.9263,-3.75092,0,3.75092
1.92668,-3,0,3
1.92706,-2.22019,0,2.22019
1.92745,-1.52814,0,1.52814
1.92783,-1.02306,0,1.02306
1.92821,-0.771639,0,0.771639
1.9286,-0.798005,0,0.798005
1.92898,-1.0802,0,1.0802
1.92936,-1.55366,0,1.55366
1.92975,-2.12132,0,2.12132
1.93013,-2.66855,0,2.66855
1.93051,-3.08092,0,3.08092
1.9309,-3.26195,0,3.26195
1.93128,-3.14805,0,3.14805
1.93167,-2.71861,0,2.71861
1.93205,-1.99948,0,1.99948
1.93243,-1.05942,0,1.05942
1.93282,8.09288e-14,0,8.09288e-14
